bus_id,grid_cell
IN163-765,IND_145
way/1143180503-765,IND_147
way/654736039-765,IND_148
way/654736039-765,IND_149
way/429459345-765,IND_154
way/429459345-765,IND_155
IN659-765,IND_156
way/473902678-765,IND_157
way/473902678-765,IND_158
way/473902678-765,IND_160
way/473902678-765,IND_161
way/473902678-765,IND_162
way/331275940-765,IND_163
way/331275940-765,IND_164
way/331275940-765,IND_165
way/331275940-765,IND_166
IN529-765,IND_167
IN529-765,IND_168
way/688672798-765,IND_169
way/688672798-765,IND_170
way/655683221-765,IND_171
way/655683221-765,IND_172
IN194-765,IND_173
IN191-765,IND_174
IN191-765,IND_175
IN163-765,IND_176
way/1143180503-765,IND_177
way/654736039-765,IND_178
way/654736039-765,IND_179
way/654736039-765,IND_180
way/654736039-765,IND_181
way/654736039-765,IND_182
way/429459345-765,IND_186
way/429459345-765,IND_187
way/429459345-765,IND_188
way/429459345-765,IND_189
way/429459345-765,IND_190
IN659-765,IND_191
IN659-765,IND_192
way/473902678-765,IND_193
way/473902678-765,IND_194
way/473902678-765,IND_195
way/473902678-765,IND_196
way/473902678-765,IND_197
way/331275940-765,IND_198
way/331275940-765,IND_199
way/331275940-765,IND_200
IN489-765,IND_202
IN489-765,IND_203
way/655683221-765,IND_204
way/655683221-765,IND_205
way/655683221-765,IND_206
way/655683221-765,IND_207
way/631917408-765,IND_208
way/631917408-765,IND_209
way/631917408-765,IND_210
way/631917408-765,IND_211
way/654736039-765,IND_212
way/654736039-765,IND_213
way/654736039-765,IND_215
way/654736039-765,IND_216
way/654736039-765,IND_217
way/372701897-765,IND_218
way/429459345-765,IND_219
way/429459345-765,IND_220
way/429459345-765,IND_221
way/429459345-765,IND_222
way/429459345-765,IND_223
way/429459345-765,IND_224
way/429459345-765,IND_225
IN659-765,IND_226
IN659-765,IND_227
IN642-765,IND_229
IN642-765,IND_230
IN642-765,IND_231
way/318090288-765,IND_232
way/318090288-765,IND_233
way/318090288-765,IND_234
IN489-765,IND_235
IN488-765,IND_237
IN488-765,IND_238
way/655683221-765,IND_239
way/655683221-765,IND_240
way/655683221-765,IND_241
way/655683221-765,IND_242
way/631917408-765,IND_243
way/631917408-765,IND_244
way/631917408-765,IND_245
way/631917408-765,IND_246
way/654736039-765,IND_247
way/654736039-765,IND_248
way/654736039-765,IND_249
way/654736039-765,IND_250
way/654736039-765,IND_251
way/654736039-765,IND_252
way/372701897-765,IND_253
way/372701897-765,IND_254
IN10-765,IND_255
IN10-765,IND_256
IN10-765,IND_257
IN10-765,IND_258
way/355560316-765,IND_260
way/429459345-765,IND_261
way/429459345-765,IND_262
way/429459345-765,IND_263
way/429459345-765,IND_264
way/429459345-765,IND_265
way/429459345-765,IND_267
way/429459345-765,IND_268
IN659-765,IND_269
IN659-765,IND_270
way/453513742-765,IND_271
IN642-765,IND_273
way/318090288-765,IND_274
way/318090288-765,IND_275
way/318090288-765,IND_276
way/318090288-765,IND_277
IN486-765,IND_278
IN486-765,IND_280
IN486-765,IND_281
way/655683221-765,IND_282
way/655683221-765,IND_283
way/655683221-765,IND_285
way/631917408-765,IND_286
way/631917408-765,IND_288
way/631917408-765,IND_289
IN146-765,IND_290
IN146-765,IND_291
way/654736039-765,IND_292
way/654736039-765,IND_293
way/654736039-765,IND_294
way/372701897-765,IND_295
way/372701897-765,IND_296
way/372701897-765,IND_297
way/372701897-765,IND_298
way/372701897-765,IND_299
IN10-765,IND_300
IN10-765,IND_301
IN10-765,IND_302
IN10-765,IND_303
IN10-765,IND_304
IN10-765,IND_305
IN10-765,IND_306
way/355560316-765,IND_307
way/355560316-765,IND_308
way/355560316-765,IND_309
way/355560316-765,IND_310
way/355560316-765,IND_311
way/429459345-765,IND_312
way/429459345-765,IND_313
way/429459345-765,IND_314
way/429459345-765,IND_315
way/429459345-765,IND_316
way/429459345-765,IND_317
way/429459345-765,IND_318
way/429459345-765,IND_319
IN659-765,IND_320
IN659-765,IND_321
IN642-765,IND_322
IN642-765,IND_323
way/316463122-765,IND_324
way/316463122-765,IND_325
way/318090288-765,IND_326
way/318090288-765,IND_328
IN486-765,IND_329
IN486-765,IND_330
IN486-765,IND_331
IN486-765,IND_332
way/655683221-765,IND_333
way/655683221-765,IND_334
way/655683221-765,IND_335
way/655683221-765,IND_336
way/631917408-765,IND_337
way/631917408-765,IND_338
way/631917408-765,IND_339
IN146-765,IND_340
IN146-765,IND_341
IN146-765,IND_342
way/1077819664-765,IND_343
way/1077819664-765,IND_344
way/311176519-765,IND_345
way/372701897-765,IND_346
way/372701897-765,IND_347
way/372701897-765,IND_348
way/372701897-765,IND_349
way/372701897-765,IND_350
IN10-765,IND_351
IN10-765,IND_352
IN10-765,IND_353
IN10-765,IND_354
IN10-765,IND_355
IN10-765,IND_356
IN10-765,IND_357
way/355560316-765,IND_358
way/355560316-765,IND_359
way/355560316-765,IND_360
way/355560316-765,IND_361
way/355560316-765,IND_362
way/355560316-765,IND_363
way/355560316-765,IND_364
way/492377703-765,IND_365
way/492377703-765,IND_366
way/492377703-765,IND_367
way/492377703-765,IND_368
way/492377703-765,IND_369
way/492377703-765,IND_370
way/293597835-765,IND_371
way/293597835-765,IND_372
way/608461884-765,IND_373
way/318050929-765,IND_374
way/316463122-765,IND_375
way/316463122-765,IND_377
way/318090288-765,IND_378
way/318090288-765,IND_379
way/318090288-765,IND_380
way/698045832-765,IND_381
IN473-765,IND_382
IN473-765,IND_383
IN473-765,IND_384
IN473-765,IND_385
way/655683221-765,IND_386
way/655683221-765,IND_387
way/311571096-765,IND_388
way/369866141-765,IND_389
way/369866141-765,IND_390
way/369866141-765,IND_391
way/369866141-765,IND_392
IN142-765,IND_394
way/1077819664-765,IND_395
way/1077819664-765,IND_396
way/311176519-765,IND_397
way/372701897-765,IND_398
way/372701897-765,IND_399
way/372701897-765,IND_401
way/372701897-765,IND_402
IN10-765,IND_403
IN10-765,IND_404
IN10-765,IND_406
IN10-765,IND_407
IN10-765,IND_408
IN10-765,IND_409
IN798-765,IND_410
IN798-765,IND_411
IN798-765,IND_412
way/355560316-765,IND_413
way/355560316-765,IND_414
way/355560316-765,IND_415
way/355560316-765,IND_416
way/355560316-765,IND_417
way/355560316-765,IND_418
way/492377703-765,IND_419
way/492377703-765,IND_420
way/492377703-765,IND_421
way/492377703-765,IND_422
way/492377703-765,IND_424
way/293597835-765,IND_425
way/293597835-765,IND_426
way/608461884-765,IND_427
way/608461884-765,IND_428
way/318050929-765,IND_429
way/318050929-765,IND_431
way/316463122-765,IND_432
way/318090288-765,IND_433
way/698045832-765,IND_434
way/698045832-765,IND_435
way/698045832-765,IND_436
IN473-765,IND_438
IN473-765,IND_439
way/311571096-765,IND_440
way/311571096-765,IND_441
way/311571096-765,IND_442
way/311571096-765,IND_443
way/369866141-765,IND_444
way/369866141-765,IND_446
IN146-765,IND_447
way/311176519-765,IND_450
way/311176519-765,IND_451
way/311176519-765,IND_452
way/372701897-765,IND_453
way/372701897-765,IND_454
way/372701897-765,IND_455
way/372701897-765,IND_456
IN10-765,IND_457
IN10-765,IND_458
IN10-765,IND_459
IN10-765,IND_460
IN10-765,IND_461
IN10-765,IND_462
IN10-765,IND_463
way/425401901-765,IND_464
IN806-765,IND_465
IN798-765,IND_466
IN798-765,IND_467
IN798-765,IND_468
IN798-765,IND_469
IN798-765,IND_470
way/355560316-765,IND_471
way/355560316-765,IND_472
way/355560316-765,IND_473
way/355560316-765,IND_474
way/355560316-765,IND_475
way/355560316-765,IND_476
way/355560316-765,IND_477
way/492377703-765,IND_478
way/492377703-765,IND_479
way/492377703-765,IND_480
way/492377703-765,IND_481
way/293597835-765,IND_482
way/293597835-765,IND_484
way/608461884-765,IND_486
way/318050929-765,IND_487
way/318050929-765,IND_488
way/318050929-765,IND_489
way/315477169-765,IND_490
way/315477169-765,IND_491
way/698045832-765,IND_492
way/698045832-765,IND_494
way/209826798-765,IND_495
way/209826798-765,IND_496
way/209826798-765,IND_497
way/311571096-765,IND_498
way/311571096-765,IND_499
way/311571096-765,IND_501
way/369866141-765,IND_502
way/369866141-765,IND_503
way/369866141-765,IND_504
IN142-765,IND_505
IN107-765,IND_506
way/311176519-765,IND_509
way/311176519-765,IND_510
way/372701897-765,IND_511
way/372701897-765,IND_512
way/372701897-765,IND_513
way/372701897-765,IND_514
IN10-765,IND_515
IN10-765,IND_516
IN10-765,IND_517
IN10-765,IND_521
way/425401901-765,IND_522
way/425401901-765,IND_523
IN806-765,IND_524
IN806-765,IND_525
IN798-765,IND_526
IN798-765,IND_527
IN798-765,IND_528
IN798-765,IND_529
way/386153973-765,IND_530
way/355560316-765,IND_531
way/355560316-765,IND_532
way/355560316-765,IND_533
way/355560316-765,IND_534
way/355560316-765,IND_535
way/355560316-765,IND_536
way/386018740-765,IND_537
way/386018740-765,IND_538
way/386018740-765,IND_539
way/386018740-765,IND_540
way/293597835-765,IND_541
way/293597835-765,IND_542
way/608461884-765,IND_543
way/608461884-765,IND_544
way/608461884-765,IND_545
way/608461884-765,IND_546
way/315477169-765,IND_547
way/315477169-765,IND_548
way/315477169-765,IND_549
way/315477169-765,IND_550
way/698045832-765,IND_551
way/698045832-765,IND_552
way/698045832-765,IND_553
way/209826798-765,IND_554
way/360424761-765,IND_555
way/360424761-765,IND_556
way/311571096-765,IND_557
way/311571096-765,IND_558
way/311571096-765,IND_559
way/311571096-765,IND_560
IN230-765,IND_561
IN230-765,IND_562
IN230-765,IND_563
IN137-765,IND_564
IN137-765,IND_565
way/247861059-765,IND_567
way/311176519-765,IND_568
way/311176519-765,IND_569
way/105373531-765,IND_570
way/372701897-765,IND_571
way/372701897-765,IND_572
way/372701897-765,IND_573
IN10-765,IND_574
IN10-765,IND_576
IN10-765,IND_579
IN10-765,IND_580
IN10-765,IND_581
way/425401901-765,IND_582
way/425401901-765,IND_583
way/425401901-765,IND_584
way/1206014676-765,IND_585
IN806-765,IND_586
IN798-765,IND_587
IN798-765,IND_588
IN798-765,IND_589
way/386153973-765,IND_590
way/386153973-765,IND_591
way/355560316-765,IND_592
way/355560316-765,IND_593
way/355560316-765,IND_595
way/355560316-765,IND_596
way/315823978-765,IND_597
way/386018740-765,IND_598
way/386018740-765,IND_599
way/386018740-765,IND_601
way/386018740-765,IND_602
way/293597835-765,IND_603
way/608461884-765,IND_604
way/608461884-765,IND_605
way/608461884-765,IND_606
way/608461884-765,IND_607
way/315477169-765,IND_608
way/315477169-765,IND_609
way/315477169-765,IND_611
way/315477169-765,IND_612
way/698045832-765,IND_613
way/360424761-765,IND_614
way/360424761-765,IND_615
way/360424761-765,IND_616
way/360424761-765,IND_617
way/360424761-765,IND_618
way/311571096-765,IND_619
way/311571096-765,IND_620
IN250-765,IND_621
IN247-765,IND_622
IN230-765,IND_624
IN140-765,IND_625
way/247861059-765,IND_628
way/105373531-765,IND_629
way/105373531-765,IND_630
way/105373531-765,IND_631
IN42-765,IND_632
IN42-765,IND_633
IN42-765,IND_634
IN42-765,IND_635
IN10-765,IND_636
IN10-765,IND_640
way/425401901-765,IND_643
way/425401901-765,IND_644
way/425401901-765,IND_645
way/1206014676-765,IND_646
IN806-765,IND_647
IN801-765,IND_648
IN798-765,IND_650
way/386153973-765,IND_651
way/386153973-765,IND_652
way/386153973-765,IND_653
way/355560316-765,IND_654
way/355560316-765,IND_655
way/355560316-765,IND_656
way/355560316-765,IND_657
way/315823978-765,IND_658
way/315823978-765,IND_659
way/386018740-765,IND_660
way/386018740-765,IND_661
way/386018740-765,IND_662
way/386018740-765,IND_663
way/801704865-765,IND_664
way/466424134-765,IND_665
way/466424134-765,IND_666
way/466424134-765,IND_667
way/466424134-765,IND_668
way/315477169-765,IND_669
way/315477169-765,IND_670
way/315477169-765,IND_671
way/315477169-765,IND_672
way/315477169-765,IND_673
way/408924420-765,IND_674
way/360424761-765,IND_675
way/360424761-765,IND_676
way/360424761-765,IND_678
way/193216698-765,IND_679
way/193216698-765,IND_680
way/423702239-765,IND_681
IN250-765,IND_682
IN250-765,IND_683
IN250-765,IND_684
way/274106872-765,IND_685
IN136-765,IND_686
way/105373531-765,IND_691
IN42-765,IND_692
IN42-765,IND_693
IN42-765,IND_694
IN42-765,IND_695
way/425401901-765,IND_704
way/425401901-765,IND_705
IN803-765,IND_710
IN798-765,IND_711
way/386153973-765,IND_712
way/386153973-765,IND_714
way/386153973-765,IND_715
way/355560316-765,IND_716
IN749-765,IND_717
IN749-765,IND_718
IN748-765,IND_719
way/315823978-765,IND_720
way/315823978-765,IND_722
way/801704865-765,IND_723
way/801704865-765,IND_724
way/801704865-765,IND_725
way/466424134-765,IND_726
way/466424134-765,IND_728
way/466424134-765,IND_729
way/201845280-765,IND_730
way/201845280-765,IND_731
way/201845280-765,IND_732
way/201845280-765,IND_733
way/408924420-765,IND_734
way/408924420-765,IND_735
way/514344408-765,IND_736
way/360424761-765,IND_737
way/360424761-765,IND_738
way/193216698-765,IND_739
way/193216698-765,IND_741
IN295-765,IND_742
IN264-765,IND_743
way/274106872-765,IND_747
IN135-765,IND_748
way/420797421-765,IND_749
way/1341291951-765,IND_751
way/105373531-765,IND_752
IN42-765,IND_753
